AI_XW;COLL;NOB;NOB_cor;NOB_mr;NOB_mr_code;ReferenceName;VPVS_XW;WellName;Zone Name
9365.835;0;0;0;;;2607.5;1.781011;1000PST2;AC 9
9353.926;0;0;0;;;2607.6;1.78661;1000PST2;AC 9
9340.777;0;0;0;;;2607.7;1.792613;1000PST2;AC 9
9361.647;0;0;0;;;2607.8;1.796677;1000PST2;AC 9
9305.129;0;0;0;;;2607.9;1.803613;1000PST2;AC 9
9307.736;0;0;0;;;2608;1.804296;1000PST2;AC 9
9418.006;0;0;0;;;2608.1;1.798474;1000PST2;AC 9
9436.972;0;0;0;;;2608.2;1.798873;1000PST2;AC 9
9427.276;0;0;0;;;2608.3;1.798062;1000PST2;AC 9
9428.902;0;0;0;;;2608.4;1.798019;1000PST2;AC 9
9294.314;0;0;0;;;2608.5;1.803714;1000PST2;AC 9
9160.137;0;0;0;;;2608.6;1.80898;1000PST2;AC 9
9041.463;0;0;0;;;2608.7;1.811812;1000PST2;AC 9
8940.813;0;0;0;;;2608.8;1.811851;1000PST2;AC 9
8971.486;0;0;0;;;2608.9;1.814528;1000PST2;AC 9
9032.82;0;0;0;;;2609;1.814974;1000PST2;AC 9
9196.521;0;0;0;;;2609.1;1.808766;1000PST2;AC 9
9401.991;0;0;0;;;2609.2;1.799593;1000PST2;AC 9
9536.982;0;0;0;;;2609.3;1.785332;1000PST2;AC 9
9737.145;0;0;0;;;2609.4;1.768476;1000PST2;AC 9
9839.439;0;0;0;;;2609.5;1.751193;1000PST2;AC 9
9801.896;0;0;0;;;2609.6;1.741977;1000PST2;AC 9
9783.284;0;0;0;;;2609.7;1.737071;1000PST2;AC 9
9714.655;0;0;0;;;2609.8;1.734595;1000PST2;AC 9
9649.021;0;0;0;;;2609.9;1.749174;1000PST2;AC 9
9517.778;0;0;0;;;2610;1.769158;1000PST2;AC 9
9343.796;0;0;0;;;2610.1;1.797487;1000PST2;AC 9
8986.227;0;0;0;;;2610.2;1.85744;1000PST2;AC 9
8660.929;0;0;0;;;2610.3;1.91483;1000PST2;AC 9
8477.838;0;0;0;;;2610.4;1.962315;1000PST2;AC 9
8769.94;0;0;0;;;2610.5;1.924599;1000PST2;AC 9
8967.986;0;0;0;;;2610.6;1.905824;1000PST2;AC 9
9104.835;0;0;0;;;2610.7;1.893292;1000PST2;AC 9
9180.442;0;0;0;;;2610.8;1.887013;1000PST2;AC 9
9233.953;0;0;0;;;2610.9;1.880834;1000PST2;AC 9
9270.812;0;0;0;;;2611;1.875252;1000PST2;AC 9
9219.849;0;0;0;;;2611.1;1.87674;1000PST2;AC 9
9173.287;0;0;0;;;2611.2;1.877632;1000PST2;AC 9
9149.267;0;0;0;;;2611.3;1.876958;1000PST2;AC 9
9137.01;0;0;0;;;2611.4;1.873683;1000PST2;AC 9
9155.315;0;0;0;;;2611.5;1.869582;1000PST2;AC 9
9163.771;0;0;0;;;2611.6;1.864983;1000PST2;AC 9
9111.174;0;0;0;;;2611.7;1.860742;1000PST2;AC 9
9073.034;0;0;0;;;2611.8;1.856958;1000PST2;AC 9
9012.445;0;0;0;;;2611.9;1.848722;1000PST2;AC 9
9000.603;0;0;0;;;2612;1.837131;1000PST2;AC 9
8984.21;0;0;0;;;2612.1;1.825178;1000PST2;AC 9
8945.089;0;0;0;;;2612.2;1.815471;1000PST2;AC 9
8885.481;0;0;0;;;2612.3;1.809715;1000PST2;AC 9
